Device Name,IP Address,Site,Manufacturer,Model,IOS Version,Region
SRIGHISL1,146.40.79.2,SRIGHI,Cisco,Catalyst 37xx Stack,15.2(4)E5,APAC
SRIGHISL10,146.40.79.51,SRIGHI,Cisco,Cisco WS-C3560CG-8TC-S,15.0(2)SE11,APAC
SRIGHISL2,146.40.79.3,SRIGHI,Cisco,Catalyst 37xx Stack,15.2(4)E5,APAC
SRIGHISL3,146.40.79.4,SRIGHI,Cisco,Catalyst 37xx Stack,15.2(4)E5,APAC
SRIGHISL4,146.40.79.7,SRIGHI,Cisco,Catalyst 37xx Stack,15.2(4)E5,APAC
SRIGHISL5,146.40.79.8,SRIGHI,Cisco,Catalyst 37xx Stack,15.2(4)E5,APAC
SRIGHISL6,146.40.79.5,SRIGHI,Cisco,Catalyst 37xx Stack,15.2(4)E5,APAC
SRIGHISL7,146.40.79.6,SRIGHI,Cisco,Catalyst 37xx Stack,15.2(4)E5,APAC
SRIGHISL8,146.40.71.5,SRIGHI,Cisco,Catalyst 37xx Stack,15.2(4)E5,APAC
SRIGHISL9,146.40.71.4,SRIGHI,Cisco,Catalyst 37xx Stack,15.2(4)E5,APAC
SRIGHIWC01,146.40.70.5,SRIGHI,Cisco,Cisco 5500 Series Wireless Controller,None,APAC
SYLLAC-DHAK94 (Aamra 10M 2nd SYLLACRL1 F0/1/1-DHAK94RL2 F0/2/0),146.40.157.210,SYLLAC,Cisco,Cisco 3925K9,15.5(3)M6a,APAC
SYLLAC-DHAK94 (Aamra 10M SYLLACRL1 F0/1/0-DHAK94RL3 F0/0/0),146.40.156.225,DHAK94,Cisco,Cisco 3925K9,15.5(3)M6a,APAC
SYLLAC-F30831 (InterCloud 75M SYLLACRL2 F0/1/0-F30831RL01 G0/2/0),146.40.79.225,DHAK94,Cisco,Cisco 3925K9,15.7(3)M5,APAC
SYLLACGA1,146.44.191.248,SYLLAC,Cisco,Cisco 3925K9,15.1(3)T,APAC
SYLLACGA2,146.44.191.251,SYLLAC,Cisco,Cisco 3925K9,15.1(3)T,APAC
SYLLACRL1,146.40.79.250,SYLLAC,Cisco,Cisco 3925K9,15.5(3)M6a,APAC
