Device Name,Error,IOS Version,IP Address,Manufacturer,Model,Region,Site,ios version
F07058-T43-HSL26A,,7.3(3)N1(1),134.248.222.32,Cisco,Cisco Nexus 5596 UP,APAC,F07058,Cisco Nexus
F07058-T43-MS38,,16.9.4,134.248.222.27,Cisco,Cisco Catalyst 36xx stack-able ethernet switch,APAC,F07058,Cisco IOS XE Software
F07058-T43-PL24A,Cannot connect to 134.248.222.13,7.3(3)N1(1),134.248.222.13,Cisco,Cisco Nexus 5548,APAC,F07058,
F07058-T43-PL28A,,7.3(3)N1(1),134.248.222.30,Cisco,Cisco Nexus 5596 UP,APAC,F07058,Cisco Nexus
F07058-T51-MR28,,03.06.04.E RELEASE SOFTWARE (fc2),134.248.241.253,Cisco,Cisco Catalyst 4500 L3,APAC,F07058,
F07058-T51-MS19,Cannot connect to 134.248.222.83,15.2(4)E5,134.248.222.83,Cisco,Catalyst 3560X-24U-S,APAC,F07058,
F07058-T51-MS20,Cannot connect to 134.248.222.63,15.2(4)E5,134.248.222.63,Cisco,Cisco Catalyst 2960X-24TS-LL Switch,APAC,F07058,
F07058-T51-SL29,Cannot connect to 134.248.222.44,15.2(4)E5,134.248.222.44,Cisco,Catalyst 37xx Stack,APAC,F07058,
F07058RI01,,7.3(3)N1(1),134.248.222.49,Cisco,Cisco Nexus 5672UP,APAC,F07058,Cisco Nexus
F07058RI02,,7.3(3)N1(1),134.248.222.50,Cisco,Cisco Nexus 5672UP,APAC,F07058,Cisco Nexus
F07170BCCE1,Cannot connect to 144.5.36.107,16.6.3,144.5.36.107,Cisco,Cisco 4321 ISR,APAC,F07170,
F07170SL1,Cannot connect to 146.40.86.98,15.2(4)E5,146.40.86.98,Cisco,Catalyst 3560X 24,APAC,F07170,
F07245CE1,,17.3.5,146.40.139.248,Cisco,Cisco 4431 ISR,APAC,F07245,Cisco IOS XE Software
F07245GA1,Cannot connect to 146.40.139.3,15.6(3)M,146.40.139.3,Cisco,Cisco Voice Gateway 204XM,APAC,F07245,
F07245SL2,Cannot connect to 146.40.139.6,16.12.7,146.40.139.6,Cisco,Cisco Catalyst 38xx stack,APAC,F07245,
F07246RA1,Cannot connect to 144.5.82.160,16.9.6,144.5.82.160,Cisco,Cisco 4331 ISR,APAC,F07246,
F07246RA2,Cannot connect to 144.5.82.161,16.12.4,144.5.82.161,Cisco,Cisco 4331 ISR,APAC,F07246,
F07925CE1,Cannot connect to 146.40.138.248,15.5(3)M6a,146.40.138.248,Cisco,Cisco 3925SPE200,APAC,F07925,
F07925RL1,Cannot connect to 146.40.138.18,16.12.4,146.40.138.18,Cisco,Cisco 4431 ISR,APAC,F07925,
F07925SL1,,16.12.7,146.40.138.4,Cisco,Cisco Catalyst 38xx stack,APAC,F07925,Cisco IOS XE Software
F08057SL1,Cannot connect to 146.40.91.180,15.0(2)SE11,146.40.91.180,Cisco,Cisco Catalyst 29xxStack,APAC,F08057,
F08628RE1,Cannot connect to 144.5.196.227,16.3.5,144.5.196.227,Cisco,Cisco 4331 ISR,APAC,F08628,
F08628SL1,Cannot connect to 144.5.246.2,17.3.4,144.5.246.2,Cisco,Cisco Catalyst 9300 Series Switch,APAC,F08628,
F08664RE1,Cannot connect to 144.5.180.249,17.6.3a,144.5.180.249,Cisco,Cisco 4331 ISR,APAC,F08664,
F08664SL2,Cannot connect to 144.5.178.3,16.6.3,144.5.178.3,Cisco,Cisco Catalyst 9300 Series Switch,APAC,F08664,
F08675GA1,Cannot connect to 10.44.7.248,16.3.5,10.44.7.248,Cisco,Cisco 4431 ISR,APAC,F08675,
F08675GA2,,16.3.5,10.44.7.249,Cisco,Cisco 4431 ISR,APAC,F08675,Cisco IOS XE Software
F08675GA3,,15.6(3)M3a,10.44.7.230,Cisco,VG310,APAC,F08675,
F08675GA4,,15.6(3)M3a,10.44.7.231,Cisco,VG310,APAC,F08675,
F08675RG1-VSS,,15.4(1)SY3,10.45.15.254,Cisco,Cisco Catalyst 68xx Virtual Switch,APAC,F08675,
F08675RL1,,15.5(3)S6b,10.45.15.252,Cisco,Cisco ASR 1004,APAC,F08675,Cisco IOS XE Software
F08675SL11N1,,16.9.5,10.45.4.6,Cisco,Cisco Catalyst 9300 Series Switch,APAC,F08675,Cisco IOS XE Software
F08675SL11N2,Cannot connect to 10.45.4.7,16.9.5,10.45.4.7,Cisco,Cisco Catalyst 9300 Series Switch,APAC,F08675,
